line	end	env	label	title	section	hasproof	summary
5099	5118	theorem	thm:final-support-surface-closure	Final support-surface closure	subsection: Review-bundle and archive-equivalence condition	True	For the current package, using Proposition~prop:final-package-shape-convention, Audit record~prop:exact-review-bundle-upload-witness, and Theorem~thm:exact-inclusion-support-surface-realization, the bundle-backed claims in this supplement are admissible at the stated path-verified evidence level exactly when the submitted supplemental material contains the exact directory review_bundle/ whose final packaging record i
5221	5247	theorem	thm:workspace-final-package-reconciliation	Workspace-to-final-package reconciliation	subsection: Review-bundle and archive-equivalence condition	True	Let D_0 be the digest manifest review_bundle/FINAL_DIGESTS_SHA256.md, and let H_i denote the source state printed in verifier log i. The source-state claim made in Audit record~prop:final-immutable-package-state-certificate is the finite package claim consisting of these recorded pairs (H_i,D_0), not a claim that every later reviewer checkout, editor workspace, or post-packaging working tree has Git HEAD equal to a s
5314	5340	theorem	thm:support-surface-normal-form	Support-surface normal form for bundle-backed claims	subsection: Review-bundle and archive-equivalence condition	True	For the current presentation package, every accepted use of a bundle-backed certificate coordinate is in exactly one of the following normal forms. Exact inclusion: an external upload or submission receipt records that the submitted support surface contains the exact review_bundle/ directory whose certificate-file bytes match review_bundle/FINAL_DIGESTS_SHA256.md. Archive-equivalent inclusion: a replacement archive s
5381	5396	theorem	thm:upload-or-archive-instantiation-boundary	Upload instantiation boundary	subsection: Review-bundle and archive-equivalence condition	True	Before the bundle-backed claims of this supplement are treated as part of a completed venue submission, the external submission record must instantiate the support-surface branch selected by Proposition~prop:final-package-shape-convention and Theorems~thm:final-support-surface-closure and thm:support-surface-normal-form: it must record that review_bundle/ was uploaded exactly with digest manifest D_0 and with the roo
5417	5425	corollary	cor:upload-or-archive-instantiation-record	Upload-or-archive instantiation record	subsection: Review-bundle and archive-equivalence condition	True	The bundle-backed support claims of the current package may be used only under the external-record condition of Theorem~thm:upload-or-archive-instantiation-boundary. In particular, review_bundle/FINAL_DIGESTS_SHA256.md is a local byte-level packaging manifest and not, by itself, an upload receipt or an archive locator; no archive replacement branch is selected for this source package.
5432	5446	proposition	prop:no-external-instantiation-from-local-bundle-records	No external instantiation from local bundle records	subsection: Review-bundle and archive-equivalence condition	True	In the current source package, the rows of review_bundle/FINAL_DIGESTS_SHA256.md, the manifest fields of review_bundle/REVIEW_BUNDLE_MANIFEST.json, the bibliography entries automath-publication-pipeline,auditable-pipeline-review-bundle, and the support notes in this supplement instantiate only a local exact-inclusion support mode. They do not instantiate either admissible external-support branch of Corollary~cor:uplo
5473	5518	proposition	prop:upload-or-archive-instantiation-update-protocol	Upload-or-archive instantiation update protocol	subsection: Review-bundle and archive-equivalence condition	True	Suppose a later venue upload receipt or archive-equivalent locator is to be used to replace the current no-receipt boundary of Corollary~cor:upload-or-archive-instantiation-record by an externally instantiated submitted-support claim. Then the replacement is accepted by the finite-record interface if and only if one of the two following finite update protocols is performed. The manuscript surfaces in the statement ar
5564	5587	corollary	cor:current-no-receipt-support-surface-non-escalation	Current no-receipt support-surface non-escalation	subsection: Review-bundle and archive-equivalence condition	True	In the current source package the records review_bundle/FINAL_DIGESTS_SHA256.md, review_bundle/REVIEW_BUNDLE_MANIFEST.json, review_bundle/current_package_pass_records.json, and theorem_inventory.json do not contain a venue upload receipt, public DOI, institutional archive identifier, or archive-equivalent locator for review_bundle/. Hence every claim whose evidence surface is a bundle-local path is accepted only as a
5615	5626	corollary	cor:fresh-inventory-digest-instance-this-source-state	Fresh inventory digest instance for this source state	subsection: Review-bundle and archive-equivalence condition	True	In the present source state, the regenerated files theorem_inventory.json and theorem_inventory.md are closed as local exact-inclusion coordinates only after their SHA-256 rows in review_bundle/FINAL_DIGESTS_SHA256.md are recomputed from the bytes of those two files and the finite command-boundary table names that refreshed manifest state. This corollary supplies no upload receipt, archive locator, extractor-complete
5647	5676	theorem	thm:digest-closure-refresh-criterion	Digest-closure refresh criterion for final package claims	subsection: Review-bundle and archive-equivalence condition	True	For the current presentation package, any claim that a submitted support surface has exact final digests is accepted only for a closed finite state D satisfying all of the following conditions. The digest manifest review_bundle/FINAL_DIGESTS_SHA256.md contains SHA-256 rows for main.tex, submission_abstract.tex, references.bib, source_interface_record.json, theorem_inventory.json, theorem_inventory.md, and every file 
5716	5731	proposition	prop:primary-architectural-fallback-without-external-support	Primary architectural fallback without external support	subsection: Review-bundle and archive-equivalence condition	True	Assume the current source package is used without an upload receipt for the exact review_bundle/ directory and without an archive-equivalent replacement satisfying Audit record~audit:review-bundle-archive-equivalence. Then the primary presentation article may assert only the source-level architecture and path-verified local-package claims whose evidence surfaces are visible outside the missing bundle. In particular, 
5782	5799	theorem	thm:deterministic-theorem-environment-extractor-boundary	Deterministic theorem-environment extractor boundary	subsection: Review-bundle and archive-equivalence condition	True	Let the theorem-like environment domain E for this package consist of the five environment names definition, lemma, proposition, theorem, and corollary. The command python review_bundle/extract_theorem_environments.py run on main.tex and theorem_inventory.json is a deterministic syntactic extractor for the following finite claim only: every labelled environment in main.tex whose environment name belongs to E is liste
5829	5850	theorem	prop:manual-theorem-inventory-boundary	Theorem-inventory boundary	subsection: Review-bundle and archive-equivalence condition	True	This theorem retains the legacy cross-reference label prop:manual-theorem-inventory-boundary for compatibility with earlier acceptance-ledger entries; its environment category is theorem, not proposition. The file theorem_inventory.json is a theorem-obligation inventory record whose current support has two finite parts. First, it is an obligation ledger selected by finite-record review and connected to the manifest a
5881	5899	proposition	prop:regenerated-theorem-inventory-digest-closure	Regenerated theorem-inventory digest closure	subsection: Review-bundle and archive-equivalence condition	True	Suppose a theorem-inventory pass regenerates either theorem_inventory.json or theorem_inventory.md after the package has selected the exact-inclusion support branch. Then the final support-surface claims of Theorem~thm:final-support-surface-closure, the submitted theorem-ledger claim of Theorem~thm:theorem-obligation-ledger-boundary, and the command boundary of Proposition~audit:command-run-boundary-inventory remain 
5930	5942	corollary	cor:current-theorem-inventory-digest-instance	Current theorem-inventory digest instance	subsection: Review-bundle and archive-equivalence condition	True	For the present local support package, after theorem_inventory.json and theorem_inventory.md have been regenerated, the submitted theorem-obligation ledger may be cited in Theorem~thm:theorem-obligation-ledger-boundary only through the refreshed digest rows for those two files in review_bundle/FINAL_DIGESTS_SHA256.md and through fresh finite-record verifier logs produced after the regenerated inventory files are pres
5966	5986	proposition	prop:post-inventory-fixed-point-support-certificate	Post-inventory fixed-point support certificate	subsection: Review-bundle and archive-equivalence condition	True	In the present package state, the two regenerated theorem-inventory files are accepted by the exact-inclusion theorem-ledger chain only at the following finite fixed point: the rows of review_bundle/FINAL_DIGESTS_SHA256.md name theorem_inventory.json and theorem_inventory.md; the same digest manifest names the refreshed logs review_bundle/certificate_verification_run.log, review_bundle/source_interface_verification_r
6023	6048	theorem	thm:post-inventory-finite-record-realization	Post-inventory finite-record realization	subsection: Review-bundle and archive-equivalence condition	True	Suppose the following finite records are present in the current source package: theorem_inventory.json and theorem_inventory.md; a zero-exit log for python review_bundle/extract_theorem_environments.py computed after those two files were written; zero-exit logs for python review_bundle/verify_certificate_records.py, python review_bundle/verify_source_interface_record.py, and python review_bundle/verify_primary_claim_
6088	6115	theorem	thm:theorem-obligation-ledger-boundary	Seven-row submitted theorem-obligation ledger integration	subsection: Review-bundle and archive-equivalence condition	True	Let P^{+}_{7} be the seven-row support state obtained from P^{+}_{6} by the conservative finite-record extension of Theorem~thm:nested-package-states, namely by adding exactly the submitted theorem-ledger coordinate a7. In P^{+}_{7}, the theorem-obligation ledger is no longer a detached review-only artifact: the submitted finite support surface contains theorem_inventory.json through the manifest field theorem_invent
6160	6170	proposition	prop:submitted-theorem-inventory-availability	Submitted theorem-inventory availability	subsection: Review-bundle and archive-equivalence condition	True	If the external support-surface condition of Corollary~cor:upload-or-archive-instantiation-record is satisfied, then theorem_inventory.json is an available submitted certificate coordinate for the bounded theorem-obligation ledger claim of Theorem~thm:theorem-obligation-ledger-boundary. If the exact bundle is not uploaded with matching final digests, the theorem inventory has only local diagnostic force and cannot su
6186	6211	proposition	prop:submission-support-instantiation-field-normal-form	Submission-support instantiation field normal form	subsection: Review-bundle and archive-equivalence condition	True	For the current source package, the upload-or-archive support coordinate has the following complete finite field normal form: {}{p{0.29}X} field & current value\\ support branch & conditional exact supplemental inclusion of review_bundle/\\ upload receipt & absent\\ archive-equivalent locator & absent\\ accepted external support status & not externally instantiated\\ Consequently the support-surface fields required b
6238	6254	corollary	cor:current-local-support-normal-form	Current local-support normal form	subsection: Review-bundle and archive-equivalence condition	True	For the current presentation package, the finite support state has exactly the following normal form. The theorem-inventory coordinate is accepted only through the post-regeneration digest-and-verifier fixed point of Proposition~prop:post-inventory-fixed-point-support-certificate; the review-bundle coordinate is not externally instantiated, because Proposition~prop:submission-support-instantiation-field-normal-form r
6291	6312	proposition	audit:review-bundle-availability-condition	Review-bundle availability condition	subsection: Review-bundle and archive-equivalence condition	True	The final support mode selected for the current presentation package is exact supplemental inclusion of review_bundle/, conditional on the external instantiation record of Corollary~cor:upload-or-archive-instantiation-record, as recorded in review_bundle/FINAL_DIGESTS_SHA256.md and in Audit record~prop:final-immutable-package-state-certificate. This is a conditional support-mode selection, not a completed venue-uploa
6345	6356	proposition	audit:case-snapshot-non-rerun-boundary	Case-snapshot non-rerun boundary	subsection: Review-bundle and archive-equivalence condition	True	Under the hypotheses of Propositions~prop:path-complete-case-witnesses and prop:review-bundle-case-snapshot-coverage, the four case-study rows cannot be read as fresh dynamic-behavior claims. Any stronger reading asserting a fresh publication-daemon execution, full-source rebuild, theorem-content rerun, Rule110 dynamic rerun, or GroundCompiler semantic rerun requires command, source state, environment, exit-code, and
6418	6437	proposition	audit:command-run-boundary-inventory	Command-run boundary inventory	subsection: Command-run boundary	True	For the current presentation package, Table~tab:command-boundary-inventory is complete for the command-boundary claims used by Proposition~prop:machine-readable-certificate-records, Proposition~audit:review-bundle-availability-condition, and the finite-record interface theorem, Theorem~thm:publication-safety-interface. The accepted command-boundary claims in the package are exactly the three refreshed finite record-v
6500	6515	proposition	prop:final-local-support-state-reconciliation	Final local support-state reconciliation	subsection: Command-run boundary	True	For the current source package, the finite support state used by the publication-safety theorem chain is the following reconciled local state and no stronger one. First, the regenerated files theorem_inventory.json and theorem_inventory.md are accepted only through the refreshed SHA-256 rows in review_bundle/FINAL_DIGESTS_SHA256.md and through the finite verifier logs named in Proposition~prop:post-inventory-fixed-po
6545	6568	theorem	thm:submission-support-fixed-point-normal-form	Submission-support fixed-point normal form	subsection: Command-run boundary	True	For the current source package, the support state for the three externalized claims in the publication-safety theorem chain is exactly the following finite normal form. The theorem-inventory coordinate is accepted only after theorem_inventory.json and theorem_inventory.md have been written, the theorem-environment extractor and finite-record verifiers have been rerun on that post-inventory state, and review_bundle/FI
6605	6618	proposition	prop:final-refreshed-coordinate-instantiation	Final refreshed-coordinate instantiation	subsection: Command-run boundary	True	For the current dated local-readiness package, the first coordinate of Theorem~thm:submission-support-fixed-point-normal-form is instantiated by the finite tuple consisting of theorem_inventory.json, theorem_inventory.md, review_bundle/theorem_environment_extraction_run.log, review_bundle/certificate_verification_run.log, review_bundle/source_interface_verification_run.log, review_bundle/VENUE_BIBLIOGRAPHY_LIVE_CHECK
6647	6677	theorem	thm:post-inventory-package-fixed-point	Post-inventory package fixed point	subsection: Command-run boundary	True	Let P be the current local package state consisting of the manuscript source, submission_abstract.tex, theorem_inventory.json, theorem_inventory.md, and review_bundle/. Suppose that the following finite sequence is executed in the displayed order: write the theorem-inventory files for the manuscript source state; rerun python review_bundle/extract_theorem_environments.py; rerun the finite-record verifiers named in Ta
6730	6745	corollary	cor:round-two-post-inventory-realization	Round-two post-inventory realization	subsection: Command-run boundary	True	Assume that the present round-two source state contains the two submitted inventory files theorem_inventory.json and theorem_inventory.md. If, after those two files exist, the theorem-environment extractor, the retained finite-record verifiers, the retained dated venue/bibliography check, and the final SHA--256 manifest are run in the order displayed in Theorem~thm:post-inventory-package-fixed-point, then the theorem
